day,dose_rate_mGy_day,ros_norm,mito_integrity,atp_proxy,fast_excitability_delta,slow_mito_atp_suppression,excitability_ratio,ltp_proxy,structural_neural_integrity_proxy,scenario,shield_mm_Al
51.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
52.0,325677.7777777778,10.786306308587257,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
53.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
54.0,325677.7777777778,10.786306308587257,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
55.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
56.0,325677.7777777778,10.786306308587257,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
57.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
58.0,325677.7777777778,10.786306308587257,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
59.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
60.0,325677.7777777778,10.786306308587257,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
61.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
62.0,325677.7777777778,10.786306308587257,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
63.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
